id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16976026,Cheap Family home with desk 10 mn to JFK+Mall,gAAAAABddcx9OtBTcBo_AQEmetZ6T2n-xmOqXeauGpdE63GWriex3_4HoB6RzEYrHBsTuk3mnuyX5OhZlDN0mjUul3Vvse9P4Q==,gAAAAABddcx9pRxhzrbbpqXosSgYNnrQyRSFd3SdYxzgOyPOQZOZ0zAFQ3FXlB1iZFviWzJc4JLp1zxgEukHh0-eAdA6VB8eAA==,Queens,Rosedale,40.65292,-73.73652,Private room,45,14,70,2019-06-24,2.38,5,281
141335,Architect's Brownstone,gAAAAABddcx98AtKVxT3joEUxR3ISrdsaHfxatjesuqHYCsFlkECKw2BIaimI-L_0AVeyAdAKUrDgd0IUFgDfcjD3BZH311tEA==,gAAAAABddcx9uRLM4cKfrTNFraM1NW1WvycUay43lBXMotIKGULOT1YCsEoqcw04B0F2iBHXxiyftjsM59SgWGJUy9CdSRqrEQ==,Brooklyn,Park Slope,40.67535,-73.97654,Entire home/apt,495,1,35,2018-01-13,0.41,1,355
2454504,Center Park Slope 2 Bedroom Townhouse Apartment,gAAAAABddcx9ArrYXSIMQ8HE6Osy3Dux2u1xTsLOZJ1lJMsglFMcQxIWFSto6LAxRW1NS4De413a1f1ZnRYnL0CMoVI8Vy34pw==,gAAAAABddcx9pbRhuCB-YWOHjRAFX_NkeIAjvlc1LztGSk-ozYZFP8aHCwmiFD68xrL8OmGEMaK6kXTmd2dXZQAg1550o2Ht6g==,Brooklyn,Park Slope,40.67348,-73.9779,Entire home/apt,189,7,13,2019-06-20,0.39,1,33
36334586,4min walk to Times Square! Cozy and very clean!,gAAAAABddcx9NAbwIn5Hbm4_Z3LL3I5uF9Z-6n9ub-pof9K7uD8eSVEN0_fXEzSUvBK7Jb1kVedl7k0jVRjyoUFBzPFz64qS_w==,gAAAAABddcx9dC8jxWNtyyV6FopDo43HZTGYXmNrS5-qE7Th1scEK5PGFjzjTq6lotmMClRfGc-0Zrc9AkHNlONRhUeEcwfQ2A==,Manhattan,Hell's Kitchen,40.75941,-73.99179000000002,Entire home/apt,239,7,0,,,1,77
31428785,Artist's huge family home in BK with Roof Deck!,gAAAAABddcx9XkGWSelct1DxhfLBVKT2JLk1zukLjgGTApmWJj0omvBR7DgoxX6YFGPQRxX8wz5EbNb_QqQBjw3dcgkRpK5beg==,gAAAAABddcx9DjrcVlka9n7lVu4mR_SAtGP7fV2xZKL7lFyrqtxAK-Kz-t-vDqwXPwISToUiv8qwFh9FWCLwhUe-N6NZ9Yw_Ow==,Brooklyn,Crown Heights,40.67674,-73.93083,Entire home/apt,133,2,7,2019-07-01,1.24,1,41
30565107,Quiet but close to Main Street.Flushing Chinatown,gAAAAABddcx9ilZueyVOscJqKPOXxF4bf5JHuctWsnqZRsDE3iUgdW6x_ZgFVt511GAEoQj2TeQ_Zz9z4HB6OubfZhjityGWWA==,gAAAAABddcx9cer5P4y_xHBdz1aA422mYw5HeiZ2PysqJF1WkiQvf7N59yIfLgSLmIOzuphNUspBx_EjJFOLBaooHnquVKMT8g==,Queens,Flushing,40.76389,-73.82349,Shared room,49,1,3,2019-06-23,0.94,2,90
9756258,Room for Female-Upper West Side,gAAAAABddcx9b8MJrJl_wKbRXQE5I_uMLSUT1UQHH4nBW5UX1D3OQWDOkp5RtdRrhtF5TnHyQ8Sz_wDWCt3skWFSX3br7ZwxTw==,gAAAAABddcx939G8HNmXbKwPmIPbXxQ9eoQR7Se6CmZBrZ8Qd47VxjCmaQXeByPtJ3PKtmQGhKLPfQMlINSydS36weXSL1FLMA==,Manhattan,Upper West Side,40.78641,-73.97739,Private room,65,1,2,2016-01-08,0.05,1,0
19924521,Artist Loft in Prime trendy East Williamsburg!,gAAAAABddcx9IypMVTlik7ckVrO1NEzpBAOgVswiqmJY2vOVqrSlCENvcruJ36Gv1RHVrBheRkUoHGuXtNNIgHcoCOlpiPfbiA==,gAAAAABddcx9dmEXGSZNBXmQskmaMIyQLiDB-tLQe92ijP7lE6P3OP0HCQFFIeUEradZ-xqkJ3HNp6yZyC6wc1D9PXWaiD9Cig==,Brooklyn,Bushwick,40.70208,-73.93258,Entire home/apt,85,5,2,2019-05-21,0.32,1,49
506575,Bronx Room Near Yankees + Harlem,gAAAAABddcx9bNA8hEPVlr90RIwK-HtouDOBTUI1sL95lzu9uAYP8n8kPskapjEQHvHXiPFPzw_lgbnC66BpuB1wn9NTLPkR0w==,gAAAAABddcx9r7jvY8Dwy-bPWneZdTOwUDoKt7gvtUj83jrinp38nlYqjtl_A8--eeiDLT6lkUV_TvfKeb4QeFJtjlWlhiM-Dg==,Bronx,Morris Heights,40.84937,-73.91328,Private room,45,3,190,2019-06-06,2.21,2,329
10231294,Cozy private room with own TV,gAAAAABddcx9tO8JZEi7JBBGicoSZcJkzfhlGByQu0Ri2QzrPqGHWUBBDR3_QMYfqLXB7fM7U-wNaywh_pXqh3dVKajbsCaQJw==,gAAAAABddcx9ny1NubCDOUECE_4azhDD8vBqNaTCB_lz6GUKkpkJB8wVkTfRZtH_kS1DpxL4XWZOMqTvvjuDvuzRjbzbGa8hng==,Queens,Woodhaven,40.69454,-73.85041,Private room,45,5,34,2019-06-10,0.85,6,212
30289305,New York Getaway Beautiful Room,gAAAAABddcx95QeeAOJT3zE9BBdzuEdEO1v3KQbNYPRvuQsQSyGVtLJW2oqQul-9Ct5N80IIWCDgZZ1AN_QtD7WyYnqx-GIk_A==,gAAAAABddcx9NeIBsRVC3AwasG9PPrXZpjkF9BWDuF3EeTXgkZD243_vnz0Jx4BjbkXHsa25K6CWAbEF4c5C5lqs2UUqSVAiUQ==,Manhattan,Harlem,40.81051,-73.94014,Private room,100,1,8,2019-06-03,1.26,3,253
9464605,Private Cozy BR near Union Square - FEMALE only,gAAAAABddcx9cr8m1zOlp5qkTbhJUJwsd7vCi6LfyAtifBugb8EoU5s5S224lbnMAYOTYwz81YVyX1AcJDWI9Fit-x6KTIuC4g==,gAAAAABddcx95HeczMG5M3RCDopR2MTHg2o-ds_KHf_5UMQ--CKyWlDw7ttfGJsRdcrgOZEkItaCl15A_17ioVVojA_RQr4TPQ==,Manhattan,Gramercy,40.73683,-73.98191,Private room,61,3,21,2019-07-05,0.47,1,16
22793472,"Spacious Room in Prime Prospect Heights, Brooklyn",gAAAAABddcx9tUT3hSL_UWOzMJtFk6g4xxLsNFcppuUEz0GbAYetmsMt07GNRtrmbj6xVZkyN1v5SkuRJpYeH40las11lfVvZg==,gAAAAABddcx9ha_ILL--9si53nN19amtQJcaAzcesKO91WaVCSk9YhFIC_76lBz1TCyzXaq7gCSCyRZfVb93BG611eSmjsyi-g==,Brooklyn,Prospect Heights,40.67404000000001,-73.96395,Private room,69,4,16,2019-06-21,0.95,1,300
34981637,bay ridge & sunset park furnished apartment,gAAAAABddcx9SShTycAsU210jCoxyZ6VM7RHGtFTfyW3yPUCC-0SDle4FFTGWlM9xliFpf3m82CwWj-pp0KNMa8JRJ86cJamlg==,gAAAAABddcx9ZJfeMM9pAmSbW0f1brDlhsTFjd-nMcAZQc5FujofxMrB0Zs_rkGj3usSfYGlBtmX3VttJzrtV3noGtC7rVdYHA==,Brooklyn,Bay Ridge,40.63087,-74.02006,Entire home/apt,4200,60,0,,,1,90
34511726,One Bedroom Apartment Near Prospect Park,gAAAAABddcx981EV_-WSze-Zvvxic4_0-yMHyzctVV54LaSTtvGKZq_D1-CySLWsyo3WSWJaF9FH7uoH4Q57Rh_PppVfKTO9OQ==,gAAAAABddcx9XspMduVL_uMqkwPQkYH2z8dHo0TBChZuLOFeYim2ra3GMErvfyWfHb45Hxd209XlJehOau-cayhQCoFPVHuvcw==,Brooklyn,Kensington,40.64221,-73.98125999999998,Entire home/apt,125,2,1,2019-06-09,1.0,1,74
30392543,Stately Theater District 1BR w/ Indoor pool + Gym by Blueground,gAAAAABddcx9ROrfM4T2ElUkFf7QgDVcsdeE4_PRNm9pxfZoo-D3_5E-dHE3qg8y6F-HytCTQU2lrXTTrnErnrzgmIfmcy5gjg==,gAAAAABddcx9Fq4U01haQ-TtYEkiUuLwbZt_pifdIY2XKri2tmVVgjVY-zlL-ZYVL1n9pVciSMNtY-dSXW-woFB4nmXgUqC_1g==,Manhattan,Theater District,40.76177,-73.98504,Entire home/apt,316,30,0,,,232,311
14203322,NYC apartment in the East Village,gAAAAABddcx9HmbXfN-exeqau7dftdF8o8-r3N1SjL5-bTEdwkF7UDJZXiD5tG8OLl7htMqAKOpMN7OibPeDcZ-kJhXhQbRNdQ==,gAAAAABddcx9gFV0-r2gDWIUq8a1_etswfCcK5-3KvYXEeBa3bSOTzO0M_zLvRde2rXDcKdTlvo65T1mTesSFU5mbba4ZfM_OA==,Manhattan,East Village,40.72796,-73.98178,Entire home/apt,221,2,78,2019-06-16,2.24,1,270
34690725,"15分钟到纽约城市广场,下楼即是地铁站",gAAAAABddcx9tMiyt-RNmmDs8BWfSHjUswRWaPVdRUU4HO5OOnxjk-KexNZ4VCX-omrzizYNgP62T-BXN7VuiJxGbkMzz2QZ9Q==,gAAAAABddcx9Z23d1q1TvWMN4HmpvoyfT8291dY7aE6OvpPmdSABgvPZyAF2e_pTjeff-aoN4y2n9o2m0zyLwrEEgbTyr69A9g==,Queens,Long Island City,40.74771,-73.93684,Private room,86,8,0,,,1,6
29827781,NYC WARM CLEAN COZY CLOSET EXPERIENCE ROOM 3 PPL,gAAAAABddcx9R4Nc1uqJ-ryQ6kl4ORZQ1aUq1XI8VEfVyYDHnip6sBCNz0o1FtZwKqs348atka51B4vSHjc3K8CPkaycNnw-Bw==,gAAAAABddcx9Qi2TP6d1WzsQeBlKNmOxkCUosD6F8S8340kw6n9oO3a6Vav1-zBm1jXTL1_Io39Z7Go4HnUSOIDeUaE0e2PLPA==,Manhattan,East Harlem,40.79829,-73.93601,Private room,68,3,4,2019-05-29,0.64,3,95
22221072,Private cozy room in Bushwick / full-size bed,gAAAAABddcx92HzXEPVusbBKSAps8cC4zAu9bosSwlL9-AnXw0FNujES8kjs6dpa_PmrlvFxForaRZ8FDujcgakc2fNoIIRKsg==,gAAAAABddcx9-DmotIOL3GbzK_ZUo9_XyQ6Got809WUx27GiFTcemAdV4nPtMExeHKg4pTCPYhij_673dsLxtZsRg20mNbBtiQ==,Brooklyn,Bushwick,40.69295,-73.90850999999998,Private room,50,30,4,2018-06-23,0.21,6,325
30817603,Large Private Room. Fits up to 6 people,gAAAAABddcx90YrLYXfIbl9dOXPSQ2mA9aDg4Dt_TfwmiSOwGCOG7zizrUaOHDJZhA9nAI0FvaSsndmO-yYgusRfnBbWac8CoQ==,gAAAAABddcx9I4ER7GPTEOhKvRjkIdC43bCuCFQ73eiBLhG02c8YtNm9LHpzqu4u067VOCGgXaKeedpLanwECAh_7mWnrKWVEg==,Brooklyn,Williamsburg,40.70841,-73.95048,Private room,120,1,3,2019-07-06,0.47,2,269
1003530,New York City - Upper West Side Apt,gAAAAABddcx96525TUEJjmJHwqFdROVVVDuogYf1VN6dzf8uB8knI3bkj5KRByrYplF7zYc6Oy3AOr-LkCSy5ZlfsuC9_SG_XA==,gAAAAABddcx9jtGQ4RoIOf_onZtiXnuCBAsUxMNcIdKw1Bwlg5m2sS8VOOMXUjSxnEP6a5UdZvSLDNhmkevXVhVI6D0db57Grg==,Manhattan,Upper West Side,40.79962,-73.96523,Private room,135,7,70,2018-08-12,0.93,1,44
34626069,Beautiful studio next to Manhattan NY!,gAAAAABddcx9BSdWqB3FpdKgbYRcZdLJrCtqQRgKoSLjim_ASNtfM_nspYpB8DlYs9ceOQ0_6URjnw4E058FqZLuHoE4Pn6hBg==,gAAAAABddcx9CQejRKxbxWUGJhxJOLkaBkbeZmyIwBLE73J8ZAESYlYSf1h5NPqsmoywb0zFkHIv_Z1LmFj2jRQ--Exk4w-fkw==,Queens,Long Island City,40.74923,-73.94847,Entire home/apt,150,3,2,2019-06-24,2.0,7,34
20271220,Sunny private room on Central Park,gAAAAABddcx9ZagE_Fp2HZ2UoluYsLze4zAEyC_ewbOrRS01b5oWTaU8eWzLMCM9ywXjdkthhu4XhsdctQ2-rXcs6qVvq62a-Q==,gAAAAABddcx9P2Igz8fPhYjP0V1dDrLTv_2Dc4FNcD4TtJkt3aFQGY15Q3dE2Kha2yyClG7vIVBiVo9XuTCNPpCgdnGGbKpIAw==,Manhattan,East Harlem,40.79629,-73.94913000000003,Private room,55,7,0,,,1,0
13014556,"Private, cozy room in the heart of Crown Heights",gAAAAABddcx97ajG93xYXkzJGCYP9US0kqP2jJqlrdRzVoO2xz45ex6LxZRxiFRnYauDY0mQfOgmRGcSiHW72fznfGzIb7qQaQ==,gAAAAABddcx9_6UVvAC-HC7iqR3npIc6QpCx3ZyAoEzaDaclqnKvDaBAhZ9T61ZAqYLIDlTqRl7Si2Fu_yK9PKDUhqHleMT-BA==,Brooklyn,Crown Heights,40.67251,-73.95334,Private room,45,2,26,2019-06-18,1.23,1,45
5627944,Huge Studio Midtown Manhattan -BEST,gAAAAABddcx9e8VqxZ8d0-EegqFENhBPUBQtOonU5F1Hak_CDOakrcQR2ieoS8njQXFM9t4Zy5qQgE2wYTxFRdG2TUDh4fFdmQ==,gAAAAABddcx9p1_jvYw7AMZzZ9E-YxyQtxghfvUlK6zD2UP05aDBEm-TbYaAprEGQAuvdYhp-WOUHzAJwCtlho4nFiJ7iTheQA==,Manhattan,Midtown,40.7555,-73.96826,Entire home/apt,182,4,56,2019-06-14,1.08,2,148
12006770,East Village- The location,gAAAAABddcx9MQ1fPVueDQvXHuG9cek4cpjwpI04mdX7sxm_mC-YZdxBa3_IY3Kp8l0ZEihl1CIPQWQsSJLevMsFSoWqTCkGkA==,gAAAAABddcx9--wuIEeErL_WGp4XJqS0Skk8IqV-l4DmTJdelyOc41iSxfyyUZiyOX0f9w9w78KKgMbt2UB6cgIXL2r6PrU-zQ==,Manhattan,East Village,40.73273,-73.98666999999998,Private room,125,1,36,2019-07-07,1.4,1,81
24777535,Sunny Space in Sunnyside - 15 min to Times Square.,gAAAAABddcx9Y_KfKtH05Py3TL7Jny6Qbqb-4-m3jONAyxjAs5l6fz52aOSfBTEkPBxDFUxYjW-XCqk1t4eBsRNWpgZW4_0zYg==,gAAAAABddcx9_Um80v9MPFoxCAbC74hMJKo8HtG2A3Stq012o32EvjZ9okD-_5qc8u8_tKTzy0ROdpCWRFwgefwu1jdUF6vF1Q==,Queens,Sunnyside,40.74425,-73.91768,Private room,50,1,74,2019-01-04,5.15,1,0
9793465,Cozy Apartment in Spanish Harlem,gAAAAABddcx9jJZ7hk8ZpHaAx2wtMvKIDlW9-onGnc4cXNxK6KFPqOuLnZHnDjdcUi-WzawFgvxxqOGxHz89ooJYUUcpRoUjzQ==,gAAAAABddcx9Altl6KSrW-rqdF6hB1VWDDT-Q5rOvTJMwitCQMX6DqAHs9_oIQqLtf5_KBby-NBB3IrRRqpLOSQVh86oAhHnRw==,Manhattan,East Harlem,40.79197,-73.94711,Entire home/apt,140,1,1,2016-04-13,0.03,1,0
21081736,Comfy Cozy,gAAAAABddcx9xwqWhwCHtqRNu2-SIjtlmuBACF2B0NgufkbyvHq3lYJ_MVmTH6yKgD5oqV6TFBHJE20Jojs5zghAxxU1dkt1GA==,gAAAAABddcx940D2Vc1dbZtzWGynbAnCAUEHDa-9EExPVUNVj13yypE5xrAYBSzIBjGZs81kuVP1KyWqXY9KrfazW3dskHovBg==,Brooklyn,Canarsie,40.64008,-73.89301999999998,Entire home/apt,139,2,64,2019-07-01,3.11,1,358
27724217,Warm and Friendly Bronx Home,gAAAAABddcx94aW_r_2uYfg42NY4OpsH1SGROreKeStIhv6Bv8F5zUoouTCKWSG7YAtKHwJaWJG0VkVCia-tGwqOagIUScjZjg==,gAAAAABddcx9Sn6C3xmK8B781rEYJZXdaiDVtmMaecCBviM0Ox3VUtVpIkI8wDpTIuDd-mqwMCudhmKJ9TAkC6izgwamafZIdA==,Bronx,Baychester,40.87886,-73.84300999999998,Private room,69,3,9,2019-06-11,0.87,2,311
32943764,Two Bedrooms Tonhouse,gAAAAABddcx9bT2B3ekSQxEPnfWSBfH1iQZbQE5Z0pk7BMtJCmXtRyd2kDTgjsKUWhSI1SdeL_R2Y0rbcE-mbgsiebImBLjTxg==,gAAAAABddcx9Ga37Bbuv7VQ23S59YAMdGXrTRuxmdE1J2MQJTC3oC0iPbi42u71VjNtzZ1qzZHk9tFSoUFQxy73DrLdL1BbhWg==,Manhattan,Harlem,40.80598,-73.94792,Entire home/apt,325,1,16,2019-07-06,4.21,1,346
14357487,Brooklyn Brownstone Oasis,gAAAAABddcx9cRZ-goXvCL7JSkaGW9gcuCnqw8rWdaV-cgK9xnAjwv6iccfpFKvL6yYQSboDBH1gHrslTIglsq7255k2ZJ9fIg==,gAAAAABddcx9AUhyHCkeecg_ndB9SLyQUldVut4TBns2cqUsXrfBxZe-TOZpR12R-5NEMTkQaodIkgLIH2F4SMa_5FL60H68GQ==,Brooklyn,Bedford-Stuyvesant,40.68796,-73.91991,Private room,45,2,24,2019-06-09,0.68,1,5
19153982,"East 19th Street, Charming 1Bd Serviced Apt",gAAAAABddcx9FI9kNM3mSSNxf4uXqjOfLTffHTY7dc5NGBdP4phtS6-Tsm98k5oqStn1SIBj7KA4dqv94ftBGKwkNn7INIfqrQ==,gAAAAABddcx9qyfQujK4_BOzg3hLr3RBMAWmpu7eSQjh24jeuv-CBNz70UBr5rx7-O3hAUFWWy80qpChoF6G1uzxlrxWRt1iOw==,Manhattan,Gramercy,40.73643,-73.98724,Entire home/apt,225,30,0,,,87,310
9308016,Spacious Greenpoint Duplex w/Yard,gAAAAABddcx900dExmczTLf4HtzfShn7Gpb2gnoBEU8Tj59pdRA59xz8sgQbBnRVo8cecGdKlf8j-nE80qpRlw02f_GlOLFECg==,gAAAAABddcx96a-moX-kqrc566IT1zcSwuzA20OjTVCG7atndl5Mnq5Wb_KFWmPApJwjtl5AUPaI0Hchv5I1wt0a0-NcHm5zsg==,Brooklyn,Greenpoint,40.73077,-73.95851,Entire home/apt,115,1,1,2015-12-27,0.02,2,0
36148417,1 Bedroom Bungalow-Rockaway-By Beach&Subway,gAAAAABddcx9nG8pF80ls857vBy_3G6jdhU7tO1icDcovi9sL2828pAeeu20rsq0XgdK8DWBKnidbWfWghXPrp_-Mpo5d8K1cQ==,gAAAAABddcx9wU_YtneMl0M2gdxUN20esah5FFPY7OOP8cbazqrUqjA_TImbUf8VW0jjttOKCxQPZaYmx-zi7ClhUh0qCCaarg==,Queens,Rockaway Beach,40.58681,-73.8128,Entire home/apt,159,1,0,,,4,166
35745348,Private room in Greenwich Village,gAAAAABddcx9aE6OIE26YD8IXgWU94xvsVqATC8vWn7FTu1cY1oOLlsUE8WTbZ_3XBb67NWGvbgkJBIYpp1nlMydIUUGqEXeXg==,gAAAAABddcx9G1ltkcSs2W6Hf0j1TVzX2MKvQJvhySuzMd92SACpSxq9GRDl-auO6actkzGP417mbpPTtps1k2DXWnTfNATo3w==,Manhattan,West Village,40.73638,-74.00057,Private room,125,2,0,,,2,180
12167152,"Chelsea ,Duplex ,Calm ,Fantastic",gAAAAABddcx9vBnTvoSDgty9zkKe2U42UoDCER9I14n4Kot3lWxdca1k3FWyPGM2r-fKMX5FAcjWK85RN_yE4zLQKwYATUNnLA==,gAAAAABddcx90YAHMWY4waLp1yKb1KyVfKA6OBYpK4vtdT-tdJaKDym2LOHeAfmTwkG51TnhxjkEFXetbuWA6UTuLk9IqSWNhw==,Manhattan,Chelsea,40.73971,-73.99829,Private room,179,3,69,2019-06-19,1.8,1,104
6612744,Sunny&Stylish 1BR★Terrace★Doorman,gAAAAABddcx9xHfkz-Uw70mYvERvMEdeDSSsOgqQk-KFR8pD_lawOB61PYsJIW1it_ZZCWXG4iMDrD85BV5lVWLvHl_ZKRKkJQ==,gAAAAABddcx9U4VXiIPXhVpH8FNr-wr7Tk21pI5lzu3iVeafKzb0KccYY3JAqhRnJTggss8hUjZaMw9xduQY_EGTJLX-7RvqfQ==,Manhattan,Lower East Side,40.71966,-73.99235999999998,Entire home/apt,300,2,5,2016-01-03,0.1,1,0
35803621,TRANQUIL HAVEN-8 MINS TO JFK/LIRR/AIRTRAIN RM#2.,gAAAAABddcx9eTtWYxBjoUn1itCU004SsTIrqt8nVC1GScxX-mc6ICi20yIZkRK1IF8H4l8krUpMf6KNHgJNXqnjL6cb9_fDcg==,gAAAAABddcx9c_XA6mK6hnXLjOq129gbjFSJDfjaiqgDltF0CyRpbwG0aRcyjnZzH1lwugPHl5v8fxiroIFO-mV26zF_qUb1YA==,Queens,Jamaica,40.67207,-73.78094,Private room,60,1,2,2019-07-08,2.0,4,79
35998531,Beautiful Sheepshead Bay  experience.,gAAAAABddcx9tGOI_QMFRzyt0N46p1FllcXzYvBEXeg_zSOVm4AGqcaG1u6zExhhCxSGrLcvT_b_zly3aVf-PkLWSb1pnVgLIA==,gAAAAABddcx9fXFYNjKN_Qbj6-AdHYe7m8KVIOH0EbE7kZQ_NG6RhN8Ekc_poblxWpKenUOU7X39aSEEKuWYJrlqjNT3mi3fDQ==,Brooklyn,Sheepshead Bay,40.58387000000001,-73.93956999999997,Entire home/apt,300,3,0,,,1,364
11547352,Modern Bushwick rm perf for 1 or 2!,gAAAAABddcx9ZEEa2kq6wiUoaPAuDokIL8QEIKh5TDI-7xiYqgSXXBBPJNnuzULYVo9nARMEzZaBluEeyrXw6cNY5vaH4BZwig==,gAAAAABddcx9hwjtY3wDjJXdL-gefmOilWU4yCTGXSlhyBMvOBBcG9oErfcfdZLebKg7fk34nyEiWQwgWm-yLq6vm06oxJigMw==,Brooklyn,Bushwick,40.70273,-73.91565,Private room,85,1,0,,,1,0
2104588,Time Square doorman building 1 bdrm,gAAAAABddcx9Qe_odiPEahObdsI9_T-zxV2mJgldcmycRDoZpTZJkdGN1mAGAcf7M2scTRs2yD_QHdFRNAV_NCMAsEkNovAnCg==,gAAAAABddcx9Kzk4BRwLHtHAxUVEDirxCD04ROoRfxqEaU3TIz78SZS24fUU92JNM9C94W5qSgLG3BAIdk2CkD-lv_2fBrPCdw==,Manhattan,Theater District,40.76263,-73.98271,Entire home/apt,240,4,0,,,1,0
